Accession,Strain_name,Year,Subtype,Host,Country,clade_global_phylogeny,general comments,tool_classification,"tool_mismatch (0=match, 999=noMatch)",clade_1A_MLsubset,match_1A_ML,clade_1B_MLsubset,match_1B_ML,clade_1C_MLsubset,match_1C_ML,clade_1A_MBsubset,match_1A_MB,clade_1B_MBsubset,match_1B_MB,clade_1C_MBsubset,match_1C_MB
CY086062,A/swine/Hong_Kong/4124/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086064,A/swine/Hong_Kong/4127/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086074,A/swine/Hong_Kong/4134/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086076,A/swine/Hong_Kong/4136/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086078,A/swine/Hong_Kong/4140/1999,1999,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,,,,,,,,,,,,
CY086080,A/swine/Hong_Kong/4142/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086084,A/swine/Hong_Kong/4148/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086088,A/swine/Hong_Kong/4158/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086092,A/swine/Hong_Kong/4162/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086098,A/swine/Hong_Kong/4170/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086100,A/swine/Hong_Kong/4171/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086102,A/swine/Hong_Kong/4175/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086104,A/swine/Hong_Kong/4178/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086112,A/swine/Hong_Kong/4190/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086114,A/swine/Hong_Kong/4194/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086116,A/swine/Hong_Kong/4198/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086118,A/swine/Hong_Kong/4199/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086120,A/swine/Hong_Kong/4201/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086124,A/swine/Hong_Kong/4211/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086126,A/swine/Hong_Kong/4217/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,,,,,,,,,,,,
CY086128,A/swine/Hong_Kong/4227/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086134,A/swine/Hong_Kong/4232/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086140,A/swine/Hong_Kong/4236/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086144,A/swine/Hong_Kong/4240/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086149,A/swine/Hong_Kong/4254/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086151,A/swine/Hong_Kong/4258/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086153,A/swine/Hong_Kong/4260/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086155,A/swine/Hong_Kong/4273/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086157,A/swine/Hong_Kong/4274/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086159,A/swine/Hong_Kong/4297/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086161,A/swine/Hong_Kong/4379/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086163,A/swine/Hong_Kong/4463/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086165,A/swine/Hong_Kong/4617/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086167,A/swine/Hong_Kong/4865/1999,1999,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086169,A/swine/Hong_Kong/4893/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086173,A/swine/Hong_Kong/4928/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086175,A/swine/Hong_Kong/4934/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086179,A/swine/Hong_Kong/4951/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086181,A/swine/Hong_Kong/4952/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086183,A/swine/Hong_Kong/4959/1999,1999,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086185,A/swine/Hong_Kong/4968/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086189,A/swine/Hong_Kong/4979/1999,1999,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086191,A/swine/Hong_Kong/5232/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086193,A/swine/Hong_Kong/5233/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086197,A/swine/Hong_Kong/5235/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086199,A/swine/Hong_Kong/5269/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086203,A/swine/Hong_Kong/5271/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086205,A/swine/Hong_Kong/5273/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086207,A/swine/Hong_Kong/5275/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086211,A/swine/Hong_Kong/5278/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086213,A/swine/Hong_Kong/5279/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086215,A/swine/Hong_Kong/5280/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086217,A/swine/Hong_Kong/5300/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086219,A/swine/Hong_Kong/5301/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086221,A/swine/Hong_Kong/5337/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086225,A/swine/Hong_Kong/5347/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086229,A/swine/Hong_Kong/5358/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086231,A/swine/Hong_Kong/5359/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086233,A/swine/Hong_Kong/5504/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086235,A/swine/Hong_Kong/5505/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086237,A/swine/Hong_Kong/5507/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086239,A/swine/Hong_Kong/5517/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086241,A/swine/Hong_Kong/5566/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086243,A/swine/Hong_Kong/5601/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086245,A/swine/Hong_Kong/5607/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,,,,,,,,,,,,
CY086251,A/swine/Hong_Kong/5628/1999,1999,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086253,A/swine/Hong_Kong/5734/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086255,A/swine/Hong_Kong/5746/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086257,A/swine/Hong_Kong/5930/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086259,A/swine/Hong_Kong/6233/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086261,A/swine/Hong_Kong/6290/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086263,A/swine/Hong_Kong/6292/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086271,A/swine/Hong_Kong/6421/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086275,A/swine/Hong_Kong/7017/2000,2000,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086279,A/swine/Hong_Kong/7192/2000,2000,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086285,A/swine/Hong_Kong/7209/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086289,A/swine/Hong_Kong/7378/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086295,A/swine/Hong_Kong/7429/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086297,A/swine/Hong_Kong/NS6/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086299,A/swine/Hong_Kong/7611/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086303,A/swine/Hong_Kong/NS140/2000,2000,H1N1,Swine,Hong_Kong,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
CY086305,A/swine/Hong_Kong/NS155/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086307,A/swine/Hong_Kong/NS217/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086309,A/swine/Hong_Kong/NS246/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086311,A/swine/Hong_Kong/NS247/2000,2000,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086313,A/swine/Hong_Kong/8279/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086315,A/swine/Hong_Kong/8282/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086317,A/swine/Hong_Kong/8372/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086319,A/swine/Hong_Kong/8418/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086321,A/swine/Hong_Kong/8596/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086323,A/swine/Hong_Kong/NS778/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086325,A/swine/Hong_Kong/8687/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086327,A/swine/Hong_Kong/8710/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086329,A/swine/Hong_Kong/8715/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086331,A/swine/Hong_Kong/NS836/2001,2001,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086333,A/swine/Hong_Kong/NS838/2001,2001,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,,,,,,,,,,,,
CY086335,A/swine/Hong_Kong/NS839/2001,2001,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086339,A/swine/Hong_Kong/8737/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086341,A/swine/Hong_Kong/8754/2001,2001,H1N2,Swine,Hong_Kong,1A.1,,1A.1,0,,,,,,,,,,,,
CY086343,A/swine/Hong_Kong/8776/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086345,A/swine/Hong_Kong/NS884/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086347,A/swine/Hong_Kong/NS888/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086349,A/swine/Hong_Kong/NS896/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086351,A/swine/Hong_Kong/9163/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086353,A/swine/Hong_Kong/9177/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086355,A/swine/Hong_Kong/9289/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086357,A/swine/Hong_Kong/9301/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086359,A/swine/Hong_Kong/9313/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086361,A/swine/Hong_Kong/9314/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086363,A/swine/Hong_Kong/NS1199/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086365,A/swine/Hong_Kong/NS1213/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086367,A/swine/Hong_Kong/9418/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086369,A/swine/Hong_Kong/9419/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086371,A/swine/Hong_Kong/9446/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086373,A/swine/Hong_Kong/9449/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086375,A/swine/Hong_Kong/9457/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086377,A/swine/Hong_Kong/9473/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086379,A/swine/Hong_Kong/9474/2001,2001,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086381,A/swine/Hong_Kong/NS1315/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086383,A/swine/Hong_Kong/9495/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086385,A/swine/Hong_Kong/9661/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,,,,,,,,,,,,
CY086387,A/swine/Hong_Kong/9665/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086389,A/swine/Hong_Kong/9667/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
CY086393,A/swine/Hong_Kong/NS1427/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086395,A/swine/Hong_Kong/NS1436/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086397,A/swine/Hong_Kong/NS1451/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086399,A/swine/Hong_Kong/NS1454/2001,2001,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086401,A/swine/Hong_Kong/9866/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086403,A/swine/Hong_Kong/9869/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086405,A/swine/Hong_Kong/9959/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086407,A/swine/Hong_Kong/10021/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086409,A/swine/Hong_Kong/10023/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086411,A/swine/Hong_Kong/10039/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086413,A/swine/Hong_Kong/10047/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086415,A/swine/Hong_Kong/10072/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086417,A/swine/Hong_Kong/10081/2001,2001,H1N2,Swine,Hong_Kong,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,1A.1.1,match,,,,
CY086419,A/swine/Hong_Kong/10082/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086421,A/swine/Hong_Kong/NS1681/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086423,A/swine/Hong_Kong/NS1683/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086425,A/swine/Hong_Kong/NS1687/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086427,A/swine/Hong_Kong/NS1689/2001,2001,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086431,A/swine/Hong_Kong/NS55/2002,2002,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086433,A/swine/Hong_Kong/63/2002,2002,H1N2,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086437,A/swine/Hong_Kong/NS63/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086439,A/swine/Hong_Kong/88/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086441,A/swine/Hong_Kong/NS319/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086443,A/swine/Hong_Kong/748/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086445,A/swine/Hong_Kong/NS1195/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086447,A/swine/Hong_Kong/1783/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086449,A/swine/Hong_Kong/1785/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086451,A/swine/Hong_Kong/1810/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086453,A/swine/Hong_Kong/1813/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086455,A/swine/Hong_Kong/1815/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086457,A/swine/Hong_Kong/1821/2008,2008,H1N1,Swine,Hong_Kong,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
CY086459,A/swine/Hong_Kong/4070/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086461,A/swine/Hong_Kong/4122/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086462,A/swine/Hong_Kong/4251/1999,1999,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086463,A/swine/Hong_Kong/749/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086465,A/swine/Hong_Kong/1065/2002,2002,H1N2,Swine,Hong_Kong,1A.3.3.1,tool mismatch,1A.3.3,999,1A.3.3.1,match,,,,,,,,,,
CY086469,A/swine/Hong_Kong/NS847/2002,2002,H1N2,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,1A.1.3,match,,,,
CY086471,A/swine/Hong_Kong/1249/2002,2002,H1N2,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086473,A/swine/Hong_Kong/1327/2002,2002,H1N1,Swine,Hong_Kong,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
CY086475,A/swine/Hong_Kong/1555/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086477,A/swine/Hong_Kong/NS1103/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086479,A/swine/Hong_Kong/NS1139/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086481,A/swine/Hong_Kong/NS1143/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086483,A/swine/Hong_Kong/NS1147/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086485,A/swine/Hong_Kong/NS1148/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
CY086487,A/swine/Hong_Kong/1706/2002,2002,H1N2,Swine,Hong_Kong,1A.3.3.1,,1A.3.3.1,0,1A.3.3.1,match,,,,,1A.3.3.1,match,,,,
CY086489,A/swine/Hong_Kong/1707/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086491,A/swine/Hong_Kong/1708/2002,2002,H1N1,Swine,Hong_Kong,1A.1.3,,1A.1.3,0,1A.1.3,match,,,,,,,,,,
CY086493,A/swine/Hong_Kong/1720/2002,2002,H1N2,Swine,Hong_Kong,1A.3.3.1,,1A.3.3.1,0,,,,,,,,,,,,
